Depth,Age (peru SST) linear,"age (2 term polynomial, 580 res age)",UK37,SST (peru),C37total (peru),%N,d15N
331,6499.600,6902.335,0.737,20.530,14.27,0.006396955,6.069992873
332.5,6522.500,6923.743,0.754,21.040,18.42,,
333,6530.183767,6930.865,,,,0.006460824,6.788953005
334,6545.500,6945.087,0.740,20.610,22.93,,
335.5,6568.500,6966.366,0.743,20.697,17.74055691,,
337,6591.400,6987.580,0.751,20.930,16.83,,
338.5,6614.410413,7008.729,0.759,21.186,16.44,,
339,6622.067381,7015.765,,,,0.006059101,6.468360394
339.5,6629.724349,7022.793,,,,,
340,6637.381317,7029.814,0.742,20.686,20.96,,
340.5,6645.038285,7036.828,,,,,
341,6652.695253,7043.835,,,,0.005404765,5.979060332
341.5,6660.352221,7050.835,0.744,20.728,17.92,0.005404765,5.979060332
343,6683.300,7071.791,0.741,20.640,19.98,0.005278258,5.872561857
345.5,6721.600,7106.574,0.747,20.830,16.63,0.005685865,5.857932393
346,6729.300,7113.509,0.755,21.070,17.41,,
347,6744.600,7127.357,0.741,20.660,19.05,0.005947389,6.283411414
348.5,6767.500,7148.076,0.744,20.740,16.35,,
349,6775.206738,7154.968,,,,0.00614382,5.888850812
350,6790.500,7168.731,0.764,21.330,12.77,,
350.5,6798.200,7175.601,0.752,20.960,19.76,,
351,6805.834609,7182.464,,,,0.005238591,6.358943321
352,6821.100,7196.169,0.735,20.470,23.08,,
353.5,6844.100,7216.673,0.765,21.340,10.80670212,0.005694458,6.196909367
355,6867.100,7237.112,0.773827996,21.61,9.10359302,0.00437176,6.778668784
356.5,6890.100,7257.486,0.748,20.840,13.16,,
357,6897.718224,7264.264,,,,0.004139355,7.480329315
358,6913.000,7277.796,0.748,20.860,21.2,,
359.5,6936.000,7298.042,0.747,20.830,19.01,0.003925861,7.969051698
361,6959.000,7318.222,0.743,20.700,20.63,0.00652176,6.055039779
362,6974.300,7331.640,0.743,20.720,16.14,,
363,6989.600,7345.029,0.735,20.470,16.43,0.005499426,5.980455332
364,7004.900,7358.390,0.732,20.370,13.94,,
365.5,7027.900,7378.377,0.742,20.690,16.75,0.005136104,6.132516059
366.5,7043.200,7391.666,0.739,20.580,13.6,,
367,7050.85758,7398.299,,,,0.005326025,5.679353612
368,7066.200,7411.545,0.746,20.800,16.41,,
369.5,7089.100,7431.359,0.737,20.540,17.94,0.00512551,5.731893197
371,7112.100,7451.110,0.745,20.750,17.3,0.00547709,5.375208796
372.5,7135.100,7470.795,0.742,20.670,17.41,,
373,7142.741194,7477.343,,,,0.005513578,5.649704889
374,7158.100,7490.416,0.740,20.610,18.42,,
375.5,7181.000,7509.972,0.741,20.660,17.34,0.005306754,5.475688174
377,7204.000,7529.464,0.750,20.910,20.75,0.005068211,5.663685601
378.5,7227.000,7548.891,0.757,21.130,17.14,,
379,7234.624809,7555.352,,,,0.005722699,5.517063923
380,7249.900,7568.254,0.737,20.540,17.6,,
381.5,7272.909648,7587.551,0.728,20.260,28.083,0.006255853,5.141938815
383,7295.900,7606.785,0.733,20.410,23.35,0.004814207,6.131127414
384.5,7318.900,7625.953,0.747,20.830,13.22,,
385,7326.508423,7632.329,,,,0.004819528,6.215005217
386,7341.800,7645.058,0.741,20.660,17.26,,
387.5,7364.800,7664.097,0.732,20.380,16.24,0.004817595,6.513559052
389,7387.800,7683.072,0.722,20.100,19.16,0.004727685,6.086818195
390.5,7410.700,7701.982,0.740,20.610,16.95,,
391,7418.392037,7708.272,,,,0.004917675,6.372247877
392,7433.700,7720.828,0.730,20.330,14.69,,
393.5,7456.700,7739.609,0.743,20.720,19.02,0.004338516,6.979169872
395,7479.600,7758.326,0.732,20.380,18.66,0.00427427,6.355620744
396.5,7502.600,7776.978,0.729,20.290,15.2,0.004746872,5.980153254
398,7525.600,7795.565,0.736,20.500,15.66,0.005103389,6.080865358
399.5,7548.600,7814.088,0.733,20.410,17.96,0.005627986,6.531204436
401,7571.500,7832.546,0.747,20.830,17.54,,
402.5,7594.500,7850.940,0.754,21.040,12.95,,
403,7602.200,7857.057,,,,0.005495725,6.643048963
403.5,7609.800,7863.166,,,,,
404,7617.500,7869.269,0.757,21.120,16.59,,
405,7632.787136,7881.452,,,,,
405.5,7640.400,7887.533,0.754,21.020,15.16,0.005734753,6.542123125
407,7663.400,7905.733,0.751,20.930,13.48,0.005772024,6.542364186
408.5,7686.400,7923.868,0.752,20.970,18.75,,
409,7694.042879,7929.899,,,,0.005431771,6.405773967
410,7709.400,7941.939,0.752,20.970,16.42,,
411.5,7732.300,7959.945,0.758,21.155,15.34,0.005601048,6.26447736
413,7755.300,7977.886,0.747,20.820,15.51,0.005750358,6.569393754
413.5,7763.000,7983.853,0.752,20.970,15.96,,
414,7770.600,7989.812,0.745,20.750,17.06,,
415,7785.900,8001.708,0.727,20.230,5.966792567,0.003436812,6.816072289
415.5,7793.600,8007.645,0.746,20.800,4.689621554,0.003436812,6.816072289
416.5,7808.900,8019.499,0.726,20.210,7,0.003941961,6.761547792
418,7831.900,8037.225,0.741,20.660,6.93,0.002560476,7.569958292
419.5,7854.800,8054.886,0.747,20.810,7.922664237,,
420,7862.496172,8060.759,,,,0.002484864,7.337157069
421.5,7885.500,8078.335,0.762,21.250,10.05612536,,
422,7893.124043,8084.179,,,,0.002131856,8.507113198
423,7908.400,8095.845,0.756,21.100,8.133494398,,
424.5,7931.400,8113.292,0.739,20.590,7.316179408,0.002918323,8.301076112
